         7361825 function calls (6445562 primitive calls) in 2.191 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
811342/6443    0.478    0.000    0.995    0.000 copy.py:128(deepcopy)
  908/904    0.176    0.000    1.067    0.001 {built-in method builtins.__build_class__}
28539/997    0.114    0.000    0.983    0.001 copy.py:227(_deepcopy_dict)
  1715110    0.090    0.000    0.090    0.000 {method 'get' of 'dict' objects}
    17816    0.083    0.000    0.266    0.000 inspect.py:2280(_signature_from_function)
16919/5011    0.067    0.000    0.951    0.000 copy.py:259(_reconstruct)
22847/17816    0.065    0.000    0.422    0.000 inspect.py:2375(_signature_from_callable)
    24146    0.061    0.000    0.072    0.000 inspect.py:2920(__init__)
  698/608    0.059    0.000    0.966    0.002 generics.py:75(__class_getitem__)
  200/184    0.054    0.000    0.389    0.002 generics.py:377(_prepare_model_fields)
   964496    0.052    0.000    0.052    0.000 {built-in method builtins.id}
18445/3928    0.049    0.000    0.050    0.000 {built-in method _abc._abc_subclasscheck}
645363/641089    0.045    0.000    0.048    0.000 {built-in method builtins.isinstance}
407573/407569    0.039    0.000    0.040    0.000 {built-in method builtins.getattr}
   712764    0.037    0.000    0.037    0.000 copy.py:182(_deepcopy_atomic)
    42954    0.037    0.000    0.066    0.000 inspect.py:2637(__init__)
    30617    0.035    0.000    0.059    0.000 inspect.py:1997(_signature_is_functionlike)
    34986    0.031    0.000    0.032    0.000 {method '__reduce_ex__' of 'object' objects}
    16526    0.031    0.000    0.051    0.000 functools.py:35(update_wrapper)
      186    0.031    0.000    0.120    0.001 util.py:60(_create_hf26_representation)
      184    0.030    0.000    0.120    0.001 util.py:75(_create_legacy_representation)
   439733    0.028    0.000    0.028    0.000 {built-in method builtins.setattr}
    68319    0.027    0.000    0.041    0.000 typing.py:1902(get_origin)
     4084    0.022    0.000    0.022    0.000 {built-in method builtins.compile}
    66556    0.022    0.000    0.031    0.000 copy.py:243(_keep_alive)
    17909    0.022    0.000    0.026    0.000 {built-in method __new__ of type object at 0x634e5627a9a0}
    17816    0.020    0.000    0.027    0.000 inspect.py:66(get_annotations)
14589/4842    0.020    0.000    0.901    0.000 copy.py:210(_deepcopy_tuple)
    43023    0.017    0.000    0.024    0.000 enum.py:359(__call__)
    17817    0.016    0.000    0.025    0.000 inspect.py:612(unwrap)
2414/1820    0.010    0.000    0.136    0.000 generics.py:251(replace_types)
    17893    0.010    0.000    0.010    0.000 __init__.py:980(__getitem__)
   126058    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
7593/5427    0.009    0.000    0.306    0.000 copy.py:201(_deepcopy_list)
     5031    0.009    0.000    0.023    0.000 inspect.py:1959(_signature_bound_method)
    17816    0.008    0.000    0.430    0.000 inspect.py:2998(from_callable)
        1    0.008    0.008    2.192    2.192 jsonrpc_models.py:1(<module>)
    35633    0.008    0.000    0.010    0.000 inspect.py:277(isfunction)
      200    0.008    0.000    0.032    0.000 typing.py:1773(get_type_hints)
    17816    0.008    0.000    0.438    0.000 inspect.py:3252(signature)
14589/4842    0.007    0.000    0.895    0.000 copy.py:211(<listcomp>)
34802/34725    0.007    0.000    0.030    0.000 copy.py:264(<genexpr>)
12673/6313    0.006    0.000    0.181    0.000 typing.py:320(_eval_type)
    43020    0.006    0.000    0.006    0.000 enum.py:678(__new__)
    16197    0.006    0.000    0.009    0.000 copyreg.py:100(__newobj__)
4280/3995    0.006    0.000    0.176    0.000 typing.py:679(_evaluate)
    44525    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     4713    0.005    0.000    0.009    0.000 typing.py:146(_type_check)
    61151    0.005    0.000    0.007    0.000 {built-in method builtins.issubclass}
    71588    0.005    0.000    0.005    0.000 {built-in method builtins.callable}
     26/1    0.005    0.000    0.036    0.036 {built-in method _imp.exec_dynamic}
     1334    0.005    0.000    0.005    0.000 {built-in method _abc._abc_init}
    30618    0.005    0.000    0.007    0.000 inspect.py:191(isclass)
    16517    0.004    0.000    0.004    0.000 functools.py:65(wraps)
    54756    0.004    0.000    0.004    0.000 inspect.py:2699(kind)
      201    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
    17817    0.004    0.000    0.006    0.000 inspect.py:632(_is_wrapper)
     7283    0.004    0.000    0.006    0.000 typing.py:1929(get_args)
     1129    0.004    0.000    0.004    0.000 {built-in method posix.stat}
